GENE_SYMBOL,logFC,P.Value,FDR
ABCB11,4.9178853,1.32e-11,2.53476e-08
DHRS9,2.735036,2.7e-10,3.16845e-07
MFSD2A,3.538052,3.212114749638808e-17,1.3569899971324108e-13
SLC51A,2.7549827,2.5e-09,1.7602500000000002e-06
DCLK1,2.1593047,2.66e-09,1.8124896774193547e-06
HAO2,-2.907465,3.89e-09,2.5677646874999994e-06
AQP9,2.949071,5.07e-09,3.1498120588235293e-06
FETUB,2.7041253,6.16e-09,3.6143800000000004e-06
GATM,-1.8486047,8e-09,4.567135135135135e-06
CD14,1.870313,1.17e-08,6.3369e-06
ABCB4,2.331992,1.26e-08,6.653745e-06
CYP4A11,-1.7733987,1.46e-08,7.521848780487805e-06
PALMD,1.888326,2.75e-08,1.3830535714285715e-05
ANGPTL3,-2.5339203,3.54e-08,1.731144984307273e-05
NPR1,-1.702541,3.91e-08,1.8353540000000002e-05
CYP4X1,-1.7974123,4.16e-08,1.8696102127659572e-05
SPTSSB,-2.1816817,6.6e-08,2.8451387755102037e-05
RGS4,-0.7931883333333335,1.0325344949455217e-05,0.0014162484504372892
RAB3C,2.3518993,9.13e-08,3.679648146316499e-05
ALDOB,-2.5023273,1.07e-07,4.109383636363637e-05
CCL20,2.146741,1.07e-07,4.109383636363637e-05
ICAM1,1.661762,1.38e-07,5.02581724137931e-05
TCEA2,1.9356177,1.51e-07,5.275168453261514e-05
AFM,-2.2021717,1.59e-07,5.4170274193548385e-05
CYP2C19,-1.3071417,2.01e-07,6.531881538461539e-05
GLYAT,-2.5655653,2.88e-07,9.210884455003727e-05
ITIH3,2.806398,3.24e-07,0.00010032817142902212
AGXT2,-1.9728353,3.49e-07,0.00010412746478873239
PEG10,1.38795,3.5e-07,0.00010412746478873239
PLPP1,1.2320077,4.02e-07,0.0001156056081081081
TGFBI,1.3696527,4.04e-07,0.0001156056081081081
TBX3,1.2645097,4.05e-07,0.0001156056081081081
SLC51B,3.0116967,5.07e-07,0.0001412017264747546
PDE7B,1.6433003,5.48e-07,0.00015032992207792206
ACSL4,1.1039857,5.92e-07,0.00016006426372744322
HSPA12A,1.471415,6.19e-07,0.0001634392125
GBA3,-2.318872,6.73e-07,0.00017550344444444444
SAA2,2.7880339999999997,1.959118978317629e-09,1.5916334684232029e-06
SAA1,2.3626746499999998,5.375270842986152e-09,3.2440527433256136e-06
EPHX2,-1.2885983,7.36e-07,0.00018959180487804878
TPM1,1.212174,7.89e-07,0.00020079574698795178
CDC42SE1,1.1210017,8.01e-07,0.00020142289285714289
PHKA1,1.2754263,8.52e-07,0.00020926506976744186
CRP,3.219604,9.15e-07,0.00021953679775280898
CYP7A1,-2.7422073,9.25e-07,0.00021953679775280898
HHLA2,1.4476707,9.6e-07,0.000225312
PLA2G12B,-1.2780293,1.01e-06,0.00023444208791208792
CA9,-1.2396397,1.03e-06,0.00023648576086956525
IL1RL1,1.288437,1.24e-06,0.00028164
ANXA13,-1.7036743,1.46e-06,0.0003280806382978723
ADGRG1,1.0601967,1.5e-06,0.000333521052631579
SLC5A9,-1.540085,1.65e-06,0.0003630515625
DPYSL3,1.1169293,1.7e-06,0.00037019690721649484
ARL15,1.1187493,1.8e-06,0.00038797346938775507
FILIP1,1.2289347,1.94e-06,0.0004111422365753659
SLC39A8,1.2423777,1.96e-06,0.0004111422365753659
SLC1A1,0.993806,2.03e-06,0.00042038911764705883
CCL2,1.347871,1.1644611632499738e-10,1.6397942100886132e-07
GLYATL1,1.4039297,2.1e-06,0.0004306631067961165
SERINC2,0.8128775,1.2363471916850457e-07,4.5816424087654774e-05
STEAP2,1.10286,2.38e-06,0.0004833917307692308
CCDC129,1.6263277,2.6e-06,0.000518111320754717
PCDHB7,1.2837933,2.67e-06,0.0005270879439252336
CYP3A5,-1.0373913,2.97e-06,0.0005808825
ITGB3,1.6426527,3.01e-06,0.000583304862385321
SLC46A3,1.128619,2.677431562749704e-10,3.16845e-07
CYP2C8,-2.4986103,3.28e-06,0.0006298494545454546
BDH1,-1.2074223,3.39e-06,0.0006397593621270648
CSRP1,0.9078913,3.43e-06,0.0006411671681415929
PIPOX,-1.2372217,3.65e-06,0.0006763065789473685
SLC6A1,1.129654,3.78e-06,0.0006914623076923076
CYP3A7-CYP3A51P,-1.3472427,3.83e-06,0.0006914623076923076
CYP3A7,-1.3472427,3.83e-06,0.0006914623076923076
S1PR1,1.0088987,3.93e-06,0.0007035033050847457
CPS1,-1.3773473,4.21e-06,0.0007428255000000001
TMPRSS2,1.0685433,4.22e-06,0.0007428255000000001
LOC285847,0.44816,7.172046258611356e-06,0.0011058038913915888
FKBP5,0.24136556666666667,7.975481288492681e-06,0.0011943867484633338
ALDH9A1,0.8817823,4.39e-06,0.0007649959675196158
EHHADH,-1.105398,4.97e-06,0.0008466234677419354
BTBD11,0.8873467,5.3e-06,0.0008952128571428571
SLC22A9,-1.3710907,5.34e-06,0.0008952128571428571
HMGCS2,-1.7532007,5.48e-06,0.0009114491338582677
GPRC5B,0.9524523,5.8e-06,0.0009571359375000001
SLC5A12,-1.4245673,6.12e-06,0.0010021144186046513
BAAT,-1.0289993,6.59e-06,0.0010545497727272727
MTTP,-1.4953177,6.74e-06,0.0010639733333333333
TINAG,1.1163793,6.76e-06,0.0010639733333333333
LCN2,1.5122357,6.8e-06,0.0010639733333333333
