GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
MFSD2A,3.45,4.544657304742922e-16,9.599679624808475e-12,11.0177432606583,True
SMA5,-0.24,3.631867082874187e-12,2.5571976130517147e-08,7.592235709618649,True
GUSBP3,-0.24,3.631867082874187e-12,2.5571976130517147e-08,7.592235709618649,True
SMA4,-0.22685714285714284,7.566889970335637e-12,3.9958854210849914e-08,7.398386973324922,True
ABCB11,2.16,4.37e-09,1.8461501999999998e-05,4.733732968327679,True
ANKRD20A8P,-0.36957333333333325,1.1543386091193311e-08,3.8912305463882985e-05,4.40991303749281,True
IGKC,0.22476599999999994,1.28952392296161e-08,3.8912305463882985e-05,4.40991303749281,True
SLC20A1,1.86,2.52e-08,6.653745e-05,4.176933847172482,True
MT2A,0.6920000000000001,9.660800963987605e-08,0.0002267389986247891,3.6444737757230197,True
TBX3,1.63,1.57e-07,0.00033163109999999996,3.479344748552849,True
EEPD1,0.92,2.326837306505592e-07,0.0004312553672037875,3.365265486857839,True
PALMD,1.52,2.97e-07,0.0004312553672037875,3.365265486857839,True
LOC100133050,-0.2584,3.06245822471089e-07,0.0004312553672037875,3.365265486857839,True
GUSBP9,-0.2584,3.06245822471089e-07,0.0004312553672037875,3.365265486857839,True
LINC00680-GUSBP4,-0.2584,3.06245822471089e-07,0.0004312553672037875,3.365265486857839,True
AMY2B,-0.4096,3.5719865284787445e-07,0.0004715691965066032,3.326454571312578,True
LOC102725104,-0.479375,4.897611641363833e-07,0.0005577767110761955,3.2535396228455977,True
LRIG3,-0.4999,5.116418863595967e-07,0.0005577767110761955,3.2535396228455977,True
AMY1C,-0.42274999999999996,5.809348882107798e-07,0.0005577767110761955,3.2535396228455977,True
AMY1A,-0.42274999999999996,5.809348882107798e-07,0.0005577767110761955,3.2535396228455977,True
AMY1B,-0.42274999999999996,5.809348882107798e-07,0.0005577767110761955,3.2535396228455977,True
AMY2A,-0.42274999999999996,5.809348882107798e-07,0.0005577767110761955,3.2535396228455977,True
GUSBP2,-0.22685714285714287,7.522158797527935e-07,0.0006620440011674274,3.179113145259447,True
GUSBP1,-0.22685714285714287,7.522158797527935e-07,0.0006620440011674274,3.179113145259447,True
ABCB4,1.32,9.42e-07,0.00079591464,3.099133506841243,True
CCL2,0.722,1.050017658235811e-06,0.0008530585767275013,3.069021146234497,True
AREG,0.5855,1.1630372263677693e-06,0.0008901835714285714,3.0505204249981763,True
ARRDC4,1.5,1.18e-06,0.0008901835714285714,3.0505204249981763,True
G6PC,1.84,1.27e-06,0.000925041724137931,3.0338386779050817,True
PMS2P1,-0.2308421052631579,2.603134838916053e-06,0.001832867240080793,2.7368689911143833,True
RNU1-1,0.6145555555555556,3.137174393454504e-06,0.0018407370753594303,2.7350082402168923,True
RNU1-3,0.6145555555555556,3.137174393454504e-06,0.0018407370753594303,2.7350082402168923,True
RNVU1-7,0.6145555555555556,3.137174393454504e-06,0.0018407370753594303,2.7350082402168923,True
RNVU1-18,0.6145555555555556,3.137174393454504e-06,0.0018407370753594303,2.7350082402168923,True
RNU1-4,0.6145555555555556,3.137174393454504e-06,0.0018407370753594303,2.7350082402168923,True
RNU1-2,0.6145555555555556,3.137174393454504e-06,0.0018407370753594303,2.7350082402168923,True
PMS2P6,-0.23444444444444448,3.2642878309465673e-06,0.0018635554554887659,2.729657679027977,True
LDLR,1.01,3.41e-06,0.0018955113157894737,2.722273618586395,True
SLC7A11,1.33,4.18e-06,0.0022639523076923075,2.6451327262135464,True
SLC25A33,0.764,4.472143691409331e-06,0.0023616272798409827,2.626788643166682,True
TP53BP2,0.995,5.17e-06,0.002663558780487805,2.5745377145878754,True
MUM1L1,-0.957,5.44e-06,0.0027359314285714284,2.5628947916618032,True
PMS2P2,-0.23382352941176474,5.6995420336080084e-06,0.002799800613393069,2.552872895652926,True
NR0B2,0.981,7.06e-06,0.0033892813636363637,2.469892376396466,True
LOC101059935,-0.49833333333333335,7.789786262275474e-06,0.003641700467527808,2.438695778104383,True
TBC1D2B,-0.5235,7.930607466092845e-06,0.003641700467527808,2.438695778104383,True
ELL2,-0.5545,8.374671836695083e-06,0.0037537331249999995,2.4255366071701467,True
PPARGC1A,-0.992,8.53e-06,0.0037537331249999995,2.4255366071701467,True
NAIP,-0.41533333333333333,1.0413038144664175e-05,0.0044888694842804356,2.347863021704792,True
HLF,0.892,1.12e-05,0.004731552,2.3249963826279196,True
ICAM1,1.66,1.15e-05,0.004763029411764706,2.3221167367064073,True
PMS2P3,-0.20624000000000003,1.2820947881404512e-05,0.005208016963440529,2.283327609862941,True
CYP7A1,-0.846,1.54e-05,0.00613762641509434,2.2119995497264084,True
DHRS9,1.41,1.81e-05,0.0070666036363636366,2.15078926744679,True
PHKA1,0.903,1.84e-05,0.0070666036363636366,2.15078926744679,True
AQP9,1.26,2.25e-05,0.008486919642857143,2.0712499098569204,True
TNFAIP3,0.965,2.56e-05,0.009486821052631579,2.0228792913227243,True
ID2,-0.941,2.71e-05,0.009869539655172415,2.005703103650614,True
HMGCR,0.777,3.84e-05,0.013747850847457627,1.861765188236696,True
SNORA62,0.95,3.92e-05,0.01380036,1.860109584325269,True
