GENE_SYMBOL,logFC,P.Value,FDR
SCD,1.77,1.78e-08,0.00016546349999999998
SREBF1,1.82,2.35e-08,0.00016546349999999998
LPCAT3,1.27,1.5e-07,0.00063369
ACSS2,1.39,2.97e-07,0.0010455885
FASN,1.69,3.64e-07,0.001098396
PRUNE2,1.46,1.4294866460725897e-10,3.0195046424991313e-06
ACSL1,1.08,9.39e-07,0.002274243
ABCG1,1.23,9.69e-07,0.002274243
INSIG1,1.11,1.13e-06,0.002386899
MYLIP,1.11,2.91e-06,0.0055879936363636366
TMEM135,0.45455,3.761350346783471e-05,0.02739689771555423
THRSP,1.23,4.16e-06,0.007246813846153845
ABCA1,1.6,4.46e-06,0.007246813846153845
LPL,0.932,6.94e-06,0.010470972857142857
IGFL3,0.869,8.04e-06,0.011321928
CYP1B1,1.24,9.37e-06,0.011547240000000002
ANGPTL3,1.06,9.7e-06,0.011547240000000002
SLC2A1,0.953,9.84e-06,0.011547240000000002
SLC16A13,0.93,1.33e-05,0.0147861
JOSD1,0.50685,9.051085671632684e-05,0.05623120077702858
BHLHE40,0.824,1.93e-05,0.0169864125
LPIN1,0.84,2.15e-05,0.0176025
LSS,0.984,2.23e-05,0.0176025
TAB3,0.839,2.25e-05,0.0176025
nan,0.010204948932238195,0.9999999999999869,1.0
ACSL3,0.916,2.56e-05,0.01931245714285714
ACLY,0.79,4.58e-05,0.032247780000000004
PNPLA3,0.767,6.49e-05,0.042840084375000004
CYP3A4,1.62,9.785466312960494e-08,0.0005167460123216613
LDLR,0.818,8.25e-05,0.0528075
MID1IP1,0.725,0.000124,0.072757
LMCD1,0.657,0.000145,0.08277932432432432
ELOVL6,0.762,0.000183,0.09911561538461539
DHCR7,0.626,0.000193,0.10149343902439024
PCSK9,0.912,0.000197,0.10149343902439024
GPAM,0.726,0.000224,0.11003609302325582
STARD4,0.711,0.000238,0.11425622727272729
AP1M2,0.572,0.00026,0.12030926086956524
HMGCR,0.646,0.000262,0.12030926086956524
GRAMD1B,0.528,0.000322,0.14471502127659575
SLCO4C1,0.4885,0.0003324161281269429,0.1462838723838628
PDE1C,0.556,0.000398,0.17157048979591838
CD9,0.531,0.000427,0.17809588235294116
TSPAN5,0.542,0.00043,0.17809588235294116
ACACA,0.862,0.000475,0.19295048076923077
RBMY1J,-0.010766666666666673,0.06104540888379649,1.0
RBMY1E,-0.010766666666666673,0.06104540888379649,1.0
RBMY1D,-0.010766666666666673,0.06104540888379649,1.0
RBMY1B,-0.010766666666666673,0.06104540888379649,1.0
RBMY1F,-0.010766666666666673,0.06104540888379649,1.0
RBMY2EP,-0.533,0.000517,0.2060488867924528
RBMY1A1,-0.010766666666666673,0.06104540888379649,1.0
RAD51,-0.53,0.000541,0.2116211666666667
ATRX,0.3311,0.0037281026386081816,0.671281779661017
SLED1,0.795,0.000624,0.23547997395134532
CYP7A1,-1.45,0.000633,0.23547997395134532
MVD,0.726,0.000727,0.2520908852459016
IL7R,-0.569,0.000728,0.2520908852459016
WNK3,-0.485,0.000847,0.2885674354838709
CCNE1,-0.539,0.000867,0.2906927142857143
PDK1,0.463,0.00089,0.29374171875
TRIB3,0.547,0.000945,0.30709592307692307
ELOVL5,0.514,0.000969,0.3080174776119403
CNTNAP1,0.537,0.000977,0.3080174776119403
ABHD3,0.473,0.00103,0.31531434782608697
CDC25A,-0.596,0.00107,0.32288014285714284
ABCD4,0.446,1.9223842375325478e-05,0.0169864125
C11orf98,0.502,0.00117,0.3260114451702323
LBHD1,0.502,0.00117,0.3260114451702323
CDKN2B,0.449,0.00133,0.36485181818181817
LOC146880,-0.743,0.00135,0.3655903846153846
STK38L,0.516,0.00146,0.38549475
FADS1,0.722,0.00146,0.38549475
CLCN6,0.532,0.00157,0.40442817073170734
TRIM61,-0.538,0.00157,0.40442817073170734
ACSL4,0.517,0.00159,0.40464542168674694
PFKP,0.487,0.00162,0.40737214285714285
CCNG2,0.489,0.00172,0.4274301176470588
TAC1,0.545,0.00177,0.4347408139534884
MCM10,-0.56,0.00189,0.45887896551724133
ATAD5,-0.412,0.00198,0.4752675
LGALSL,0.424,5.272670185146882e-05,0.035927294297050834
SNORD15B,0.523,0.00213,0.4980228006807899
BRCA1,-0.553,0.00215,0.4980228006807899
KDR,-0.664,0.00216,0.4980228006807899
PEG10,0.479,0.0022,0.4980228006807899
RAPH1,0.513,0.00228,0.506952
SKA3,-0.506,0.00264,0.5748940206185567
PHKA1,0.495,0.00271,0.5841156122448979
SNORD15A,0.555,0.00274,0.5846163636363636
MGC20647,0.54,0.00277,0.5851071
DLAT,0.433,0.00287,0.5964141176470589
LIF,0.434,0.00288,0.5964141176470589
OSBPL11,0.393,0.0031,0.6357407766990292
PGD,0.415,0.00319,0.6479074038461539
C1orf116,0.418,0.00331,0.6511310091743119
MIR31HG,0.521,0.00332,0.6511310091743119
SNRPA1,-0.79,0.00335,0.6511310091743119
LINC00312,0.804,0.00336,0.6511310091743119
WDHD1,-0.467,0.00343,0.6557313913043478
FAM111B,-0.507,0.00345,0.6557313913043478
DSN1,-0.455,0.00352,0.6557313913043478
SGO1,-0.502,0.00356,0.6557313913043478
SNORA51,0.736,0.00357,0.6557313913043478
SLC32A1,0.484,0.00357,0.6557313913043478
AGPAT4,0.4,0.00375,0.671281779661017
LBP,-0.47,0.00393,0.6917782500000001
LOC400997,-0.471,0.00403,0.6937960975609756
CPS1,-0.792,0.00404,0.6937960975609756
FGFBP1,0.726,0.00416,0.7052088188976378
NPC2,0.428,0.00418,0.7052088188976378
ZSWIM3,0.381,0.00422,0.7052088188976378
ADRA1A,-0.534,0.00424,0.7052088188976378
TSC22D3,0.567,0.00456,0.7515858139534884
GRID2,0.435,0.00459,0.7515858139534884
DONSON,-0.412,0.00463,0.7523037692307691
SNORA24,0.407,0.00486,0.7836471755725191
