GENE_SYMBOL,logFC,P.Value,FDR
PDK4,3.6194147,1.77e-11,5.341101428571429e-08
PLIN2,2.7853273,6.59e-10,4.094134411764706e-07
TXNIP,2.447839,1.79e-09,9.950044736842106e-07
ANGPTL4,2.8134057,4.96e-09,2.6864123076923076e-06
PLIN4,1.3996757,2.4e-07,9.21730909090909e-05
FABP4,3.52316,2.67e-07,0.00010071144642857143
CREB3L3,1.5660807,2.84e-07,0.00010342986206896552
PEX11A,1.295902,3.13e-07,0.00011019165000000001
KLF11,1.1215293,1.29e-06,0.0003682252702702702
IL1B,1.0227933,2.3e-06,0.0006228576923076923
PPP1R3C,-1.0317617,2.39e-06,0.0006390375949367088
ACSL1,0.9457033,2.46e-06,0.0006495322500000001
LAMA4,1.0409677,4.5e-06,0.0011735
SLC20A1,0.935821,5.65e-06,0.0014376322671970315
RRN3,0.888131225,4.3816989508382924e-16,9.255462693855725e-12
TSC22D3,-0.8971743,7.48e-06,0.0018096312578078926
LRIG3,-0.6409843,1.9107667945906737e-08,9.172983409577e-06
MMD,1.064359,8.68e-06,0.001950506808510638
NRG1,-0.79403465,8.893180548193451e-07,0.00025732966125957573
HMOX1,0.9888977,1.08e-05,0.0024013515789473683
PCDH18,-0.778071,1.12e-05,0.0024643499999999997
TNFRSF21,0.8320923,1.21e-05,0.0025817
SLC38A4,0.771112,1.48e-05,0.003126204
RRN3P1,0.8742398666666666,2.608046017325372e-12,1.0060170109788306e-08
RRN3P2,0.8742398666666666,2.608046017325372e-12,1.0060170109788306e-08
SLC16A13,0.878011,1.57e-05,0.0032834762376237623
JOSD1,0.44578334999999997,0.00017279909076520737,0.025704473198827293
LOC101060405,0.7464043,1.83e-05,0.0037529213592233015
RRN3P3,0.7464043,1.83e-05,0.0037529213592233015
RAB30,0.7535187,2.06e-05,0.004183978846153846
LRRFIP1,0.21885792999999998,7.155184192949965e-07,0.00022431228527820818
IFRD1,0.699889,3.02e-05,0.005961818691588785
SLED1,1.4116077,3.23e-05,0.006298142201834861
ART4,-0.8472703,3.25e-05,0.006298142201834861
SPRED1,0.7927037,3.29e-05,0.006317697272727273
KLF10,0.6810857,3.67e-05,0.006978133928571428
ADAMTS9,0.8770487,3.7e-05,0.006978133928571428
TRIM38,0.7380727,3.8e-05,0.007103309734513274
ACSL4,0.6873713,3.95e-05,0.007318934210526316
C1orf220,0.8869,4.28e-05,0.00786142956521739
CPT1A,0.7831957,4.53e-05,0.008248895689655174
